Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,100n CAP-VS,C_0402_1005Metric,58.977,-87.502,top,90.0
C10,100n INA vs,C_0402_1005Metric,74.432,-71.768,top,180.0
C13,100n U7 in,C_0402_1005Metric,126.074,-80.415,top,180.0
C14,100n U8 in,C_0402_1005Metric,121.711,-94.859,top,180.0
C15,100n at U4.A,C_0402_1005Metric,52.092,-87.318,top,0.0
C16,2u2 EN delay,C_0603_1608Metric,53.61,-92.982,top,0.0
C17,100n sw debounce,C_0402_1005Metric,57.0,-90.0,top,90.0
C2,100n VS-GND,C_0402_1005Metric,62.25,-97.969,top,0.0
C3,47n HGATE dv/dt (10ms),C_0402_1005Metric,56.64,-92.915,top,0.0
C4,100n vsense hold,C_0402_1005Metric,62.55,-106.8,top,180.0
C5,1u LDO in,C_0603_1608Metric,79.632,-82.907,top,0.0
C6,100n LDO in,C_0402_1005Metric,82.023,-80.989,top,270.0
C7,2u2 LDO out,C_0603_1608Metric,75.85,-77.025,top,180.0
C8,100n MCU vdd,C_0402_1005Metric,65.332,-88.418,top,180.0
C9,1u LDO out,C_0603_1608Metric,72.938,-82.15,top,0.0
CA1,47n SS (4ms),C_0402_1005Metric,81.972,-62.902,top,0.0
CA10,1n2 CC3,C_0402_1005Metric,80.469,-70.918,top,180.0
CA111,22u local,C_1206_3216Metric,131.9,-56.68,top,270.0
CA112,22u local,C_1206_3216Metric,120.937,-81.25,top,180.0
CA2,2u2 VCC,C_0603_1608Metric,82.574,-55.352,top,180.0
CA3,100n BST,C_0402_1005Metric,87.033,-60.949,top,270.0
CA4,18p CILIM,C_0402_1005Metric,85.53,-58.444,top,90.0
CA51,10u 50V X7R,C_1210_3225Metric,90.0,-54.5,top,90.0
CA52,10u 50V X7R,C_1210_3225Metric,90.0,-59.5,top,90.0
CA53,10u 50V X7R,C_1210_3225Metric,90.0,-64.5,top,90.0
CA61,47u 10V X7R,C_1210_3225Metric,116.0,-53.0,top,0.0
CA62,47u 10V X7R,C_1210_3225Metric,116.0,-58.0,top,0.0
CA63,47u 10V X7R,C_1210_3225Metric,116.0,-63.0,top,0.0
CA64,47u 10V X7R,C_1210_3225Metric,116.0,-68.0,top,0.0
CA7,220u poly 25mR,CP_Elec_6.3x5.9,122.0,-72.0,top,270.0
CA8,8n2 CC1,C_0402_1005Metric,86.031,-66.961,top,270.0
CA9,39p CC2,C_0402_1005Metric,82.023,-64.957,top,270.0
CB1,47n SS (4ms),C_0402_1005Metric,86.031,-95.518,top,270.0
CB10,1n2 CC3,C_0402_1005Metric,114.25,-92.0,top,90.0
CB111,22u pi-out,C_1206_3216Metric,127.211,-97.359,top,90.0
CB112,22u pi-out,C_1206_3216Metric,138.472,-95.779,top,180.0
CB2,2u2 VCC,C_0603_1608Metric,85.825,-88.775,top,90.0
CB3,100n BST,C_0402_1005Metric,85.53,-92.512,top,270.0
CB4,18p CILIM,C_0402_1005Metric,83.475,-88.453,top,0.0
CB51,10u 50V X7R,C_1210_3225Metric,90.0,-85.0,top,90.0
CB52,10u 50V X7R,C_1210_3225Metric,90.0,-90.0,top,90.0
