exact_config,device,platform,rx_lo_mhz,physical_spacing_mm,d_lambda,n_datasets,r0_minus_r1_phase_mean_deg,r0_minus_r1_phase_mad_deg,r0_g_median_or_circular_mean,r0_g_mad,r0_theta_deg_median_or_circular_mean,r0_theta_deg_mad,r0_phase_deg_median_or_circular_mean,r0_phase_deg_mad,r0_sigma_deg_median_or_circular_mean,r0_sigma_deg_mad,r1_g_median_or_circular_mean,r1_g_mad,r1_theta_deg_median_or_circular_mean,r1_theta_deg_mad,r1_phase_deg_median_or_circular_mean,r1_phase_deg_mad,r1_sigma_deg_median_or_circular_mean,r1_sigma_deg_mad
BLADERF2|wall|2464|0.20548,BLADERF2,wall,2464,25.0,0.20548,5,-6.958795955189826,3.9830919630897332,1.860000000000001,0.08000000000000007,0.5729577951308404,2.291831180523293,50.306150200682495,3.4271604926783086,29.06429682475844,0.4793395350801298,1.900000000000001,0.06000000000000005,1.718873385392487,0.0,57.25403072144602,4.148845471733341,22.051240426915413,1.3620006701637701
BLADERF2|wall|2464|0.53424,BLADERF2,wall,2464,65.0,0.53424,8,-21.809898646875553,3.5714137094458724,0.9900000000000002,0.010000000000000009,3.437746770784959,0.5729577951308261,39.44887186174249,2.604089875790109,23.565101519825596,1.4511858686949684,1.0000000000000002,0.04000000000000015,-0.5729577951308003,1.1459155902616436,61.12090590619764,5.949834319366204,20.16889298501207,1.5079806379059546
BLADERF2|wall|2464|0.55478,BLADERF2,wall,2464,68.0,0.55478,11,-15.6827499579684,4.085091330328698,0.9600000000000002,0.020000000000000018,5.156620156177432,1.1459155902616467,38.92505876145349,3.8474026514855817,25.162161747829384,2.9972145092135403,0.9800000000000002,0.020000000000000018,0.5729577951308404,1.1459155902616465,54.62823256008556,4.3863640576304865,22.884758228722443,1.2790715429503652
PLUTO|rover|2467|0.41762,PLUTO,rover,2467,51.0,0.41762,14,-5.044437044713263,9.232110462290654,0.96,0.020000000000000018,-10.31324031235478,3.4377467707849427,-10.603913072600646,5.507301066165515,28.247741771734415,1.6476909051995545,1.02,0.020000000000000018,-8.021409131831485,1.71887338539247,-4.9689010909120706,11.08292022558292,24.62640972701356,3.201925647770856
PLUTO|rover|2467|0.41764,PLUTO,rover,2467,51.0,0.41764,11,3.1080872321646855,7.536386128483034,1.1,0.0,-12.605071492878077,5.729577951308239,-8.494824731736394,5.6102249631493875,27.00947690743661,2.22348876555766,1.1,0.0,-17.188733853924667,2.2918311805232983,-11.961726081648104,6.937528147532749,27.928067933894546,2.6568261735415883
PLUTO|rover|5766|0.67317,PLUTO,rover,5766,35.0,0.67317,21,5.944229065266678,19.15631434242074,0.9,0.0,2.2918311805233387,3.437746770784939,-10.818024468193682,12.81305377693267,57.73819085624028,13.504646507485436,0.98,0.020000000000000018,5.729577951308278,3.437746770784945,-17.188997370127606,8.791840119306968,58.78914999546667,5.43860992684943
PLUTO|rover|5766|0.82703,PLUTO,rover,5766,43.0,0.82703,23,-33.4785298266753,19.18655108749401,0.92,0.020000000000000018,-3.4377467707848934,13.750987083139764,-21.748573801461855,7.146486544715445,54.80137276599796,18.547428637701106,0.94,0.020000000000000018,-4.583662361046545,9.167324722093179,11.005792859087315,15.667201880342848,58.08670007954863,25.43362175596981
PLUTO|rover|5866|0.68484,PLUTO,rover,5866,35.0,0.68484,17,-6.457325039237196,29.296225991594426,1.04,0.020000000000000018,-1.1459155902616005,2.291831180523293,-15.127245869156479,15.109366378897152,32.720624295084775,4.847533373394283,1.0,0.020000000000000018,3.4377467707849854,4.583662361046586,-8.837254075203946,15.718068607344838,40.406511254782174,5.307195729293151
PLUTO|rover|5866|0.84138,PLUTO,rover,5866,43.0,0.84138,27,-20.512830910139073,7.87020059889254,0.96,0.020000000000000018,4.583662361046632,5.729577951308238,-24.811542133296243,8.878929438398188,21.06163510734024,4.46347888896513,0.96,0.020000000000000018,5.729577951308278,3.437746770784939,-6.4215845210385485,11.299409582451228,22.9884888871277,5.794930124816363
PLUTO|rover|5866|0.91964,PLUTO,rover,5866,47.0,0.91964,6,-19.798179275257493,49.2213467405849,0.9,0.0,4.010704565915808,10.313240312354823,-38.29029636219246,56.07864689016811,34.38527979740913,3.566908866938968,1.05,0.020000000000000018,2.2918311805233387,4.010704565915763,-33.9321816944197,21.059559860658478,49.327922899165095,0.9278257003963485
