level,group,parameter,n_keys,n_source_datasets,min,p05,p25,median,p75,p95,max
overall,all keys,g,48,2445,0.6340021227,0.91744935725,0.9810551815749999,1.0270077115,1.2746010665,2.0573200551999995,2.708863276
overall,all keys,theta,48,2445,-11.6747155,-6.666308464099999,0.9128408021000001,2.2642872655,3.8683354572499997,5.858757543449999,13.30122817
overall,all keys,phase,48,2445,-18.16959234,-12.045640621499999,-6.5688964489999995,10.1716089415,36.763694745,52.82462281099999,74.75771483
overall,all keys,sigma,48,2445,21.88941388,24.0978221725,25.578553822499998,36.89227095,49.2035727225,72.01142438449999,85.25545091
device_band,"bladeRF, 2.4 GHz",g,9,138,0.9199179877,0.94160033006,0.9756501337,1.006855247,1.048482985,1.5255369857999996,1.841789683
device_band,"bladeRF, 2.4 GHz",theta,9,138,0.5936035274,0.76386340724,1.927123275,2.143167483,2.291937526,2.7140463026,2.715252139
device_band,"bladeRF, 2.4 GHz",phase,9,138,45.58150925,45.83187945,46.49329038,46.68138536,47.51707462,52.520479024,54.95362932
device_band,"bladeRF, 2.4 GHz",sigma,9,138,21.88941388,22.626089096,24.77887407,24.9604973,25.14371844,25.503675786,25.60318301
device_band,"bladeRF, 5.8 GHz",g,3,63,1.334110661,1.338070646,1.353910586,1.373710511,1.386925398,1.3974973076,1.400140285
device_band,"bladeRF, 5.8 GHz",theta,3,63,2.888281384,2.9273408131,3.0835785295,3.278875675,3.5202035745,3.7132658941,3.761531474
device_band,"bladeRF, 5.8 GHz",phase,3,63,32.54448468,32.620509921,32.924610885,33.30473709,35.020541365,36.393184785,36.73634564
device_band,"bladeRF, 5.8 GHz",sigma,3,63,25.4020882,25.597261070000002,26.377952550000003,27.3538169,27.583840465,27.767859317000003,27.81386403
device_band,"Pluto, 0.9 GHz",g,5,463,0.6340021227,0.74458019036,1.186892461,1.796683122,2.327475153,2.6325856514,2.708863276
device_band,"Pluto, 0.9 GHz",theta,5,463,3.635102551,3.7459861472,4.189520532,5.204787183,5.910065455,11.822995627,13.30122817
device_band,"Pluto, 0.9 GHz",phase,5,463,-2.07340475,-0.39638187859999996,6.311709607,16.80352452,19.69502464,63.74517679199999,74.75771483
device_band,"Pluto, 0.9 GHz",sigma,5,463,62.14650572,62.953224492000004,66.18009958,75.15136851,83.86365571,84.97709187,85.25545091
device_band,"Pluto, 2.4 GHz",g,12,1273,0.9689177695,0.979998015215,0.9965853064000001,1.0753295330000001,1.4158439075,1.9445010587999998,2.173374871
device_band,"Pluto, 2.4 GHz",theta,12,1273,-10.5217202,-9.54987552455,2.3763685869,4.495771289,4.66338045925,6.701865471499999,7.848791532
device_band,"Pluto, 2.4 GHz",phase,12,1273,-9.69168588,-9.3881994385,-8.09923589875,-5.7590243505,21.912566022500002,47.59688219399998,60.73716458
device_band,"Pluto, 2.4 GHz",sigma,12,1273,33.82126781,35.7011594225,37.7633992675,38.544003384999996,51.45917707,56.6435331215,57.38614954
device_band,"Pluto, 5.8 GHz",g,19,508,0.8915507278,0.91366315801,0.9570151639,1.003633642,1.038240507,1.2629598499999999,1.332807149
device_band,"Pluto, 5.8 GHz",theta,19,508,-11.6747155,-3.6765019423,-0.6773734111,1.572276362,2.203894172,2.6372285745999995,2.96231479
device_band,"Pluto, 5.8 GHz",phase,19,508,-18.16959234,-17.704190721,-10.530090792500001,1.482857476,10.1716089415,24.189409394999995,25.56524547
device_band,"Pluto, 5.8 GHz",sigma,19,508,22.28441383,24.695080984,31.01618027,35.91263378,47.109531325,54.54070573599999,58.00665682
d_lambda_regime,<0.25,g,7,639,0.6340021227,0.7998692241900001,1.4917877915,1.841789683,2.250425012,2.5944468390999997,2.708863276
d_lambda_regime,<0.25,theta,7,639,0.5936035274,1.46061050888,3.5593646750000003,4.189520532,5.557426318999999,11.083879355499995,13.30122817
d_lambda_regime,<0.25,phase,7,639,-8.406787057,-6.5067723649,2.1191524285000005,16.80352452,37.324326979999995,68.81648917699998,74.75771483
d_lambda_regime,<0.25,sigma,7,639,24.9604973,28.879165262,50.084614779999995,66.18009958,79.50751211,84.83791235,85.25545091
d_lambda_regime,0.25–0.50,g,14,950,0.9890636708,1.02768622503,1.08967412925,1.294003094,1.369572856,1.6497666055,1.757240667
d_lambda_regime,0.25–0.50,theta,14,950,-10.5217202,-9.37317649265,1.4706264185,2.800259466,4.08194342375,4.6305085896,4.660363191
d_lambda_regime,0.25–0.50,phase,14,950,-9.942930535,-9.77962150925,-7.728375923,-0.9023888540000002,33.1146739875,46.307484220499994,46.49329038
d_lambda_regime,0.25–0.50,sigma,14,950,21.88941388,23.7675630035,27.468828682500003,33.113328815,37.7633992675,44.85875422899999,56.03593787
d_lambda_regime,0.50–1.00,g,22,670,0.8915507278,0.91630998935,0.9530569286999999,0.98763208885,1.0133548635,1.07416152385,1.082456329
d_lambda_regime,0.50–1.00,theta,22,670,-11.6747155,-2.7409715283,-0.76955265585,2.017309585,2.68671607525,5.708919464099999,7.848791532
d_lambda_regime,0.50–1.00,phase,22,670,-18.16959234,-17.387807187499998,-7.322099649749999,10.005275673,46.311442415,48.803069631999996,60.73716458
d_lambda_regime,0.50–1.00,sigma,22,670,22.28441383,23.7905278785,25.3919777775,40.056648655000004,50.4024086475,57.224622065999995,58.00665682
d_lambda_regime,>1.00,g,5,186,0.973767335,0.97860210938,0.9979412069,1.003633642,1.007423737,1.0204960018,1.023764068
d_lambda_regime,>1.00,theta,5,186,2.070383663,2.0923573346,2.180252021,2.227536323,2.409299584,2.5484895584,2.583287052
d_lambda_regime,>1.00,phase,5,186,9.062810873,9.5063301004,11.28040701,20.42804103,24.03653872,25.25950412,25.56524547
d_lambda_regime,>1.00,sigma,5,186,24.96293289,25.541677192,27.8566544,30.90172013,36.54528934,38.4365625,38.90938079
identified_subset,d/lambda >= 0.5,g,27,856,0.8915507278,0.9172594626,0.9669247019,0.9979412069,1.0125036170000001,1.0668110331,1.082456329
identified_subset,d/lambda >= 0.5,theta,27,856,-11.6747155,-2.5067714348,-0.11423150064499998,2.143167483,2.592197468,5.4361596746,7.848791532
identified_subset,d/lambda >= 0.5,phase,27,856,-18.16959234,-16.064445974999998,-6.277628440499999,12.24350386,41.213625655,48.464649892,60.73716458
identified_subset,d/lambda >= 0.5,sigma,27,856,22.28441383,24.087657671,25.429540605,35.91263378,48.214637475,56.41698469599999,58.00665682
identified_subset,d/lambda >= 0.5 and n >= 10,g,18,806,0.8915507278,0.915662898715,0.955265853875,0.9951742602,1.0072816145,1.0494046288999999,1.075631622
identified_subset,d/lambda >= 0.5 and n >= 10,theta,18,806,-0.9454060494,-0.1303108545864999,2.0719738897499997,2.2642872655,2.68671607525,4.836088137699999,5.763471422
identified_subset,d/lambda >= 0.5 and n >= 10,phase,18,806,-12.35903458,-11.3035185795,-2.2895764442499997,20.6987211,34.025617912499996,47.720126464,48.87075358
identified_subset,d/lambda >= 0.5 and n >= 10,sigma,18,806,24.91962109,24.95643612,25.5292954475,34.866950795,47.503281952500004,53.51446661349999,57.38614954
