key,device,d_lambda,old_to_new_mean_row_tv,old_to_new_corr,old_cal_theory_tv,new_cal_theory_tv,new_minus_old_cal_theory_tv
SDRDEVICE.BLADERF2_0.65752,BLADERF2,0.65752,0.1487762511,0.8986627092,0.1659881838,0.1837615002,0.01777331634
SDRDEVICE.PLUTO_0.82703,PLUTO,0.82703,0.1069213453,0.9374492583,0.2403435631,0.2078953248,-0.03244823837
SDRDEVICE.PLUTO_0.67317,PLUTO,0.67317,0.0661537837,0.9893741301,0.1781539979,0.1526500044,-0.02550399352
SDRDEVICE.PLUTO_0.91964,PLUTO,0.91964,0.01187704961,0.9993053656,0.3753563351,0.3755898291,0.0002334940693
SDRDEVICE.PLUTO_0.99302,PLUTO,0.99302,0.01127455744,0.9991036159,0.2728666864,0.272566569,-0.0003001173386
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,0.009782263822,0.999448706,0.1064070751,0.1066930438,0.0002859687073
SDRDEVICE.PLUTO_0.68484,PLUTO,0.68484,0.008309859804,0.9997256452,0.1267421365,0.126742259,1.225492202e-07
SDRDEVICE.PLUTO_0.84138,PLUTO,0.84138,0.006032247472,0.999839458,0.1816589739,0.1817983265,0.0001393526568
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,0.005246215033,0.9998492785,0.1123041572,0.1122136802,-9.047693655e-05
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,0.001796223208,0.9999746519,0.2013327108,0.2012632335,-6.947733992e-05
SDRDEVICE.BLADERF2_0.59588,BLADERF2,0.59588,0.00150501243,0.9999896736,0.2229106282,0.2229636261,5.299790241e-05
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,0.001449336482,0.999994156,0.2483842614,0.248410407,2.614556709e-05
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,0.001438348738,0.999989934,0.1888471469,0.1888299989,-1.714798176e-05
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,0.001327004236,0.9999929291,0.1663590255,0.1663523976,-6.627924169e-06
SDRDEVICE.BLADERF2_0.20548,BLADERF2,0.20548,0.001252892305,0.9999937849,0.194903809,0.1949375067,3.369775458e-05
SDRDEVICE.BLADERF2_0.57533,BLADERF2,0.57533,0.001223331603,0.9999924251,0.1674747349,0.1674006446,-7.409023232e-05
SDRDEVICE.PLUTO_1.34727,PLUTO,1.34727,0.001191868531,0.9999939992,0.1298693604,0.129794921,-7.443947395e-05
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,0.00115635751,0.9999850122,0.111564869,0.1115663712,1.50219966e-06
SDRDEVICE.PLUTO_0.57606,PLUTO,0.57606,0.001133824507,0.9999927273,0.2642312362,0.2642001634,-3.107273836e-05
