model,strategy,calibration_values_per_radio,anchor_frequencies_hz,mae_deg,rmse_deg,p95_deg,coverage_fraction
frequency_lut_additive_gain_universal,unadapted,0,,15.172504540448166,22.887436601518093,54.01499644389728,1.0
frequency_lut_additive_gain_universal,fixed_one_value,1,2412000000,14.996549467309752,20.62049446740768,44.52168836873281,1.0
frequency_lut_additive_gain_universal,fixed_two_values,2,868000000;5866000000,12.054747289767446,17.418145128348844,38.6629299534877,1.0
frequency_lut_additive_gain_universal,exploratory_best_one_value,1,2412000000,14.996549467309752,20.62049446740768,44.52168836873281,1.0
frequency_lut_additive_gain_universal,exploratory_best_two_values,2,1280000000;5766000000,9.959444604464478,14.202573026566514,33.265563692895036,1.0
frequency_lut_additive_gain_universal,one_value_per_frequency,12,,5.392428063814239,7.040108098651272,14.640344008721538,1.0
frequency_lut_additive_gain_universal,fixed_two_values_per_frequency,24,,5.834002110500959,7.457246331464933,15.059985247821675,1.0
frequency_lut_additive_gain_universal,exploratory_best_two_values_per_frequency,24,,5.340462404424771,6.791024737898502,13.553696947332861,1.0
frequency_specific_additive_gain_universal,unadapted,0,,14.171443303737602,22.301761829160636,51.41149421668024,1.0
frequency_specific_additive_gain_universal,fixed_one_value,1,2412000000,14.008210857651214,19.973258532445566,42.88458368205344,1.0
frequency_specific_additive_gain_universal,fixed_two_values,2,868000000;5866000000,10.996112871191203,16.918137438900438,37.43036292255038,1.0
frequency_specific_additive_gain_universal,exploratory_best_one_value,1,2412000000,14.008210857651214,19.973258532445566,42.88458368205344,1.0
frequency_specific_additive_gain_universal,exploratory_best_two_values,2,2412000000;5766000000,8.513531575980931,13.150432633688965,31.752361683895487,1.0
frequency_specific_additive_gain_universal,one_value_per_frequency,12,,3.384854431957449,5.054328978157932,11.274211681752362,1.0
frequency_specific_additive_gain_universal,fixed_two_values_per_frequency,24,,3.41930200854611,5.022418114571395,11.5532297070089,1.0
frequency_specific_additive_gain_universal,exploratory_best_two_values_per_frequency,24,,3.0194635684437516,4.365979153596458,9.76157281918834,1.0
full_cell_lut_universal,unadapted,0,,14.200906594327806,22.363111207637417,51.57412517687542,0.9999259442113059
full_cell_lut_universal,fixed_one_value,1,2412000000,14.037081255475714,20.064895939203076,43.352799811616464,1.0
full_cell_lut_universal,fixed_two_values,2,868000000;5866000000,10.870544391703048,16.94272494777292,37.19193244225327,1.0
full_cell_lut_universal,exploratory_best_one_value,1,2412000000,14.037081255475714,20.064895939203076,43.352799811616464,1.0
full_cell_lut_universal,exploratory_best_two_values,2,868000000;5766000000,8.55539662443725,13.364952163526004,33.79430267878564,1.0
full_cell_lut_universal,one_value_per_frequency,12,,3.4390506030258217,5.369951364422675,11.378627424958905,1.0
full_cell_lut_universal,fixed_two_values_per_frequency,24,,3.3779585806386705,5.178795593753824,10.96151917359845,1.0
full_cell_lut_universal,exploratory_best_two_values_per_frequency,24,,3.0956740268958107,4.741288636637734,9.656495934199658,1.0
